cell,cell_ontology_class,mouse.id,sex,age
G12.D042193.3_8_M.1.1,naive B cell,3_8_M,male,3m
G14.D042467.3_9_M.1.1,naive B cell,3_9_M,male,3m
G16.D042044.3_9_M.1.1,naive B cell,3_9_M,male,3m
G16.D042479.3_8_M.1.1,naive B cell,3_8_M,male,3m
G16.MAA000844.3_10_M.1.1,naive B cell,3_10_M,male,3m
G18.D042193.3_8_M.1.1,naive B cell,3_8_M,male,3m
G18.D042479.3_8_M.1.1,naive B cell,3_8_M,male,3m
G19.D042193.3_8_M.1.1,naive B cell,3_8_M,male,3m
G19.D042467.3_9_M.1.1,naive B cell,3_9_M,male,3m
G19.D042479.3_8_M.1.1,naive B cell,3_8_M,male,3m
G22.D041912.3_8_M.1.1,naive B cell,3_8_M,male,3m
G22.D042044.3_9_M.1.1,naive B cell,3_9_M,male,3m
G22.D042193.3_8_M.1.1,naive B cell,3_8_M,male,3m
G22.MAA000600.3_8_M.1.1,naive B cell,3_8_M,male,3m
G3.D042044.3_9_M.1.1,naive B cell,3_9_M,male,3m
G4.D042193.3_8_M.1.1,naive B cell,3_8_M,male,3m
G4.D042479.3_8_M.1.1,naive B cell,3_8_M,male,3m
G4.MAA000844.3_10_M.1.1,naive B cell,3_10_M,male,3m
G5.MAA000844.3_10_M.1.1,naive B cell,3_10_M,male,3m
G6.D042044.3_9_M.1.1,naive B cell,3_9_M,male,3m
G6.D042193.3_8_M.1.1,naive B cell,3_8_M,male,3m
G7.D042044.3_9_M.1.1,naive B cell,3_9_M,male,3m
G8.D042193.3_8_M.1.1,naive B cell,3_8_M,male,3m
G8.MAA000600.3_8_M.1.1,naive B cell,3_8_M,male,3m
G9.D042044.3_9_M.1.1,naive B cell,3_9_M,male,3m
G9.D042193.3_8_M.1.1,naive B cell,3_8_M,male,3m
H1.D042044.3_9_M.1.1,naive B cell,3_9_M,male,3m
H11.D042044.3_9_M.1.1,naive B cell,3_9_M,male,3m
H12.D042044.3_9_M.1.1,naive B cell,3_9_M,male,3m
H14.D042044.3_9_M.1.1,naive B cell,3_9_M,male,3m
H14.D042193.3_8_M.1.1,naive B cell,3_8_M,male,3m
H15.D042044.3_9_M.1.1,naive B cell,3_9_M,male,3m
H15.D042479.3_8_M.1.1,naive B cell,3_8_M,male,3m
H17.D042044.3_9_M.1.1,naive B cell,3_9_M,male,3m
H2.D042479.3_8_M.1.1,naive B cell,3_8_M,male,3m
H2.MAA000652.3_10_M.1.1,naive B cell,3_10_M,male,3m
H20.MAA000844.3_10_M.1.1,naive B cell,3_10_M,male,3m
H21.MAA000844.3_10_M.1.1,naive B cell,3_10_M,male,3m
H22.D042193.3_8_M.1.1,naive B cell,3_8_M,male,3m
H4.D042044.3_9_M.1.1,naive B cell,3_9_M,male,3m
H5.D042193.3_8_M.1.1,naive B cell,3_8_M,male,3m
H6.D042044.3_9_M.1.1,naive B cell,3_9_M,male,3m
H6.MAA000652.3_10_M.1.1,naive B cell,3_10_M,male,3m
H7.MAA000652.3_10_M.1.1,naive B cell,3_10_M,male,3m
H8.D042193.3_8_M.1.1,naive B cell,3_8_M,male,3m
H8.D042479.3_8_M.1.1,naive B cell,3_8_M,male,3m
H9.D042193.3_8_M.1.1,naive B cell,3_8_M,male,3m
H9.MAA000652.3_10_M.1.1,naive B cell,3_10_M,male,3m
I1.D042193.3_8_M.1.1,naive B cell,3_8_M,male,3m
I1.D042479.3_8_M.1.1,naive B cell,3_8_M,male,3m
I11.D042193.3_8_M.1.1,naive B cell,3_8_M,male,3m
I11.D042467.3_9_M.1.1,naive B cell,3_9_M,male,3m
I13.D042467.3_9_M.1.1,naive B cell,3_9_M,male,3m
I13.MAA000844.3_10_M.1.1,naive B cell,3_10_M,male,3m
I14.D042467.3_9_M.1.1,naive B cell,3_9_M,male,3m
I14.MAA000652.3_10_M.1.1,naive B cell,3_10_M,male,3m
I15.D042193.3_8_M.1.1,naive B cell,3_8_M,male,3m
I18.D042193.3_8_M.1.1,naive B cell,3_8_M,male,3m
I18.D042467.3_9_M.1.1,naive B cell,3_9_M,male,3m
I18.MAA000652.3_10_M.1.1,naive B cell,3_10_M,male,3m
I19.D042044.3_9_M.1.1,naive B cell,3_9_M,male,3m
I19.D042479.3_8_M.1.1,naive B cell,3_8_M,male,3m
I21.D042479.3_8_M.1.1,naive B cell,3_8_M,male,3m
I21.MAA000844.3_10_M.1.1,naive B cell,3_10_M,male,3m
I22.D042467.3_9_M.1.1,naive B cell,3_9_M,male,3m
I22.D042479.3_8_M.1.1,naive B cell,3_8_M,male,3m
I3.D042044.3_9_M.1.1,naive B cell,3_9_M,male,3m
I3.D042479.3_8_M.1.1,naive B cell,3_8_M,male,3m
I4.D042193.3_8_M.1.1,naive B cell,3_8_M,male,3m
I5.D042479.3_8_M.1.1,naive B cell,3_8_M,male,3m
I6.D042193.3_8_M.1.1,naive B cell,3_8_M,male,3m
I7.D042193.3_8_M.1.1,naive B cell,3_8_M,male,3m
I8.D042044.3_9_M.1.1,naive B cell,3_9_M,male,3m
I8.D042193.3_8_M.1.1,naive B cell,3_8_M,male,3m
I8.MAA000844.3_10_M.1.1,naive B cell,3_10_M,male,3m
I9.D042467.3_9_M.1.1,naive B cell,3_9_M,male,3m
J10.D042044.3_9_M.1.1,naive B cell,3_9_M,male,3m
J10.D042467.3_9_M.1.1,naive B cell,3_9_M,male,3m
J11.D042044.3_9_M.1.1,naive B cell,3_9_M,male,3m
J12.D042044.3_9_M.1.1,naive B cell,3_9_M,male,3m
J12.D042193.3_8_M.1.1,naive B cell,3_8_M,male,3m
J13.D042044.3_9_M.1.1,naive B cell,3_9_M,male,3m
J13.D042467.3_9_M.1.1,naive B cell,3_9_M,male,3m
J14.D042467.3_9_M.1.1,naive B cell,3_9_M,male,3m
J14.D042479.3_8_M.1.1,naive B cell,3_8_M,male,3m
J15.D042467.3_9_M.1.1,naive B cell,3_9_M,male,3m
J16.D042193.3_8_M.1.1,naive B cell,3_8_M,male,3m
J16.D042467.3_9_M.1.1,naive B cell,3_9_M,male,3m
J17.D042193.3_8_M.1.1,naive B cell,3_8_M,male,3m
J17.MAA000844.3_10_M.1.1,naive B cell,3_10_M,male,3m
J18.MAA000844.3_10_M.1.1,naive B cell,3_10_M,male,3m
J19.D042467.3_9_M.1.1,naive B cell,3_9_M,male,3m
J2.D042044.3_9_M.1.1,naive B cell,3_9_M,male,3m
J21.D042044.3_9_M.1.1,naive B cell,3_9_M,male,3m
J21.MAA000652.3_10_M.1.1,naive B cell,3_10_M,male,3m
J22.D042044.3_9_M.1.1,naive B cell,3_9_M,male,3m
J3.D042044.3_9_M.1.1,naive B cell,3_9_M,male,3m
J3.D042479.3_8_M.1.1,naive B cell,3_8_M,male,3m
J4.D042193.3_8_M.1.1,naive B cell,3_8_M,male,3m
J4.D042479.3_8_M.1.1,naive B cell,3_8_M,male,3m
J4.MAA000844.3_10_M.1.1,naive B cell,3_10_M,male,3m
J5.D042193.3_8_M.1.1,naive B cell,3_8_M,male,3m
J7.D042193.3_8_M.1.1,naive B cell,3_8_M,male,3m
J8.D042193.3_8_M.1.1,naive B cell,3_8_M,male,3m
K10.MAA000844.3_10_M.1.1,naive B cell,3_10_M,male,3m
K11.MAA000844.3_10_M.1.1,naive B cell,3_10_M,male,3m
K12.MAA000844.3_10_M.1.1,naive B cell,3_10_M,male,3m
K13.D042467.3_9_M.1.1,naive B cell,3_9_M,male,3m
K14.D042479.3_8_M.1.1,naive B cell,3_8_M,male,3m
K14.MAA000652.3_10_M.1.1,naive B cell,3_10_M,male,3m
K14.MAA000844.3_10_M.1.1,naive B cell,3_10_M,male,3m
K15.D042467.3_9_M.1.1,naive B cell,3_9_M,male,3m
K16.D042193.3_8_M.1.1,naive B cell,3_8_M,male,3m
K16.D042467.3_9_M.1.1,naive B cell,3_9_M,male,3m
K16.MAA000844.3_10_M.1.1,naive B cell,3_10_M,male,3m
K17.D042467.3_9_M.1.1,naive B cell,3_9_M,male,3m
K18.D042044.3_9_M.1.1,naive B cell,3_9_M,male,3m
K18.D042479.3_8_M.1.1,naive B cell,3_8_M,male,3m
K19.D042044.3_9_M.1.1,naive B cell,3_9_M,male,3m
K19.D042193.3_8_M.1.1,naive B cell,3_8_M,male,3m
K2.D042193.3_8_M.1.1,naive B cell,3_8_M,male,3m
K2.MAA000844.3_10_M.1.1,naive B cell,3_10_M,male,3m
K21.MAA000652.3_10_M.1.1,naive B cell,3_10_M,male,3m
K4.D042193.3_8_M.1.1,naive B cell,3_8_M,male,3m
K5.D042044.3_9_M.1.1,naive B cell,3_9_M,male,3m
K5.D042479.3_8_M.1.1,naive B cell,3_8_M,male,3m
K9.D042193.3_8_M.1.1,naive B cell,3_8_M,male,3m
K9.D042467.3_9_M.1.1,naive B cell,3_9_M,male,3m
L10.D042044.3_9_M.1.1,naive B cell,3_9_M,male,3m
L10.D042467.3_9_M.1.1,naive B cell,3_9_M,male,3m
L11.D042467.3_9_M.1.1,naive B cell,3_9_M,male,3m
L12.D042044.3_9_M.1.1,naive B cell,3_9_M,male,3m
L13.D042467.3_9_M.1.1,naive B cell,3_9_M,male,3m
L13.MAA000652.3_10_M.1.1,naive B cell,3_10_M,male,3m
L14.D042193.3_8_M.1.1,naive B cell,3_8_M,male,3m
L14.D042479.3_8_M.1.1,naive B cell,3_8_M,male,3m
L14.MAA000844.3_10_M.1.1,naive B cell,3_10_M,male,3m
L16.D042467.3_9_M.1.1,naive B cell,3_9_M,male,3m
L16.MAA000844.3_10_M.1.1,naive B cell,3_10_M,male,3m
L17.D042193.3_8_M.1.1,naive B cell,3_8_M,male,3m
L17.MAA000652.3_10_M.1.1,naive B cell,3_10_M,male,3m
L18.D042044.3_9_M.1.1,naive B cell,3_9_M,male,3m
L18.D042193.3_8_M.1.1,naive B cell,3_8_M,male,3m
L18.MAA000844.3_10_M.1.1,naive B cell,3_10_M,male,3m
L19.D042467.3_9_M.1.1,naive B cell,3_9_M,male,3m
L20.D042193.3_8_M.1.1,naive B cell,3_8_M,male,3m
L21.MAA000844.3_10_M.1.1,naive B cell,3_10_M,male,3m
L22.D042193.3_8_M.1.1,naive B cell,3_8_M,male,3m
L22.MAA000844.3_10_M.1.1,naive B cell,3_10_M,male,3m
L3.MAA000652.3_10_M.1.1,naive B cell,3_10_M,male,3m
L4.D042044.3_9_M.1.1,naive B cell,3_9_M,male,3m
L4.D042193.3_8_M.1.1,naive B cell,3_8_M,male,3m
L4.MAA000844.3_10_M.1.1,naive B cell,3_10_M,male,3m
L5.D042193.3_8_M.1.1,naive B cell,3_8_M,male,3m
L6.MAA000844.3_10_M.1.1,naive B cell,3_10_M,male,3m
L8.D042193.3_8_M.1.1,naive B cell,3_8_M,male,3m
M10.MAA000844.3_10_M.1.1,naive B cell,3_10_M,male,3m
M11.D042467.3_9_M.1.1,naive B cell,3_9_M,male,3m
M11.D042479.3_8_M.1.1,naive B cell,3_8_M,male,3m
M12.D042193.3_8_M.1.1,naive B cell,3_8_M,male,3m
M12.D042467.3_9_M.1.1,naive B cell,3_9_M,male,3m
M14.D042044.3_9_M.1.1,naive B cell,3_9_M,male,3m
M14.D042467.3_9_M.1.1,naive B cell,3_9_M,male,3m
M15.MAA000844.3_10_M.1.1,naive B cell,3_10_M,male,3m
M17.D042467.3_9_M.1.1,naive B cell,3_9_M,male,3m
M17.MAA000844.3_10_M.1.1,naive B cell,3_10_M,male,3m
M18.D042044.3_9_M.1.1,naive B cell,3_9_M,male,3m
M19.D042044.3_9_M.1.1,naive B cell,3_9_M,male,3m
M19.D042467.3_9_M.1.1,naive B cell,3_9_M,male,3m
M2.D042193.3_8_M.1.1,naive B cell,3_8_M,male,3m
M20.MAA000844.3_10_M.1.1,naive B cell,3_10_M,male,3m
M21.D042467.3_9_M.1.1,naive B cell,3_9_M,male,3m
M22.D042044.3_9_M.1.1,naive B cell,3_9_M,male,3m
M22.D042193.3_8_M.1.1,naive B cell,3_8_M,male,3m
M22.D042467.3_9_M.1.1,naive B cell,3_9_M,male,3m
M5.D042479.3_8_M.1.1,naive B cell,3_8_M,male,3m
M5.MAA000652.3_10_M.1.1,naive B cell,3_10_M,male,3m
M6.D042044.3_9_M.1.1,naive B cell,3_9_M,male,3m
M7.MAA000652.3_10_M.1.1,naive B cell,3_10_M,male,3m
M8.D042193.3_8_M.1.1,naive B cell,3_8_M,male,3m
M9.D042193.3_8_M.1.1,naive B cell,3_8_M,male,3m
N1.D042044.3_9_M.1.1,naive B cell,3_9_M,male,3m
N10.D042044.3_9_M.1.1,naive B cell,3_9_M,male,3m
N11.D042044.3_9_M.1.1,naive B cell,3_9_M,male,3m
N12.D042193.3_8_M.1.1,naive B cell,3_8_M,male,3m
N13.D042044.3_9_M.1.1,naive B cell,3_9_M,male,3m
N13.D042193.3_8_M.1.1,naive B cell,3_8_M,male,3m
N13.MAA000844.3_10_M.1.1,naive B cell,3_10_M,male,3m
N14.D042044.3_9_M.1.1,naive B cell,3_9_M,male,3m
N14.MAA000652.3_10_M.1.1,naive B cell,3_10_M,male,3m
N15.D042467.3_9_M.1.1,naive B cell,3_9_M,male,3m
N17.MAA000844.3_10_M.1.1,naive B cell,3_10_M,male,3m
N18.D042467.3_9_M.1.1,naive B cell,3_9_M,male,3m
N2.D042044.3_9_M.1.1,naive B cell,3_9_M,male,3m
N22.D042044.3_9_M.1.1,naive B cell,3_9_M,male,3m
N22.D042479.3_8_M.1.1,naive B cell,3_8_M,male,3m
N3.D042479.3_8_M.1.1,naive B cell,3_8_M,male,3m
N3.MAA000844.3_10_M.1.1,naive B cell,3_10_M,male,3m
N4.MAA000652.3_10_M.1.1,naive B cell,3_10_M,male,3m
N5.MAA000652.3_10_M.1.1,naive B cell,3_10_M,male,3m
N7.D042193.3_8_M.1.1,naive B cell,3_8_M,male,3m
N7.MAA000844.3_10_M.1.1,naive B cell,3_10_M,male,3m
O1.D042044.3_9_M.1.1,naive B cell,3_9_M,male,3m
O1.MAA000652.3_10_M.1.1,naive B cell,3_10_M,male,3m
O10.D042479.3_8_M.1.1,naive B cell,3_8_M,male,3m
O10.MAA000844.3_10_M.1.1,naive B cell,3_10_M,male,3m
O12.D042193.3_8_M.1.1,naive B cell,3_8_M,male,3m
O12.D042467.3_9_M.1.1,naive B cell,3_9_M,male,3m
O13.D042193.3_8_M.1.1,naive B cell,3_8_M,male,3m
O13.MAA000652.3_10_M.1.1,naive B cell,3_10_M,male,3m
O14.D042479.3_8_M.1.1,naive B cell,3_8_M,male,3m
O14.MAA000844.3_10_M.1.1,naive B cell,3_10_M,male,3m
O15.D042044.3_9_M.1.1,naive B cell,3_9_M,male,3m
O15.D042479.3_8_M.1.1,naive B cell,3_8_M,male,3m
O16.D042193.3_8_M.1.1,naive B cell,3_8_M,male,3m
O16.D042467.3_9_M.1.1,naive B cell,3_9_M,male,3m
O17.D042193.3_8_M.1.1,naive B cell,3_8_M,male,3m
O17.MAA000652.3_10_M.1.1,naive B cell,3_10_M,male,3m
O19.MAA000652.3_10_M.1.1,naive B cell,3_10_M,male,3m
O2.D042193.3_8_M.1.1,naive B cell,3_8_M,male,3m
O2.D042467.3_9_M.1.1,naive B cell,3_9_M,male,3m
O20.D042479.3_8_M.1.1,naive B cell,3_8_M,male,3m
O21.D042044.3_9_M.1.1,naive B cell,3_9_M,male,3m
O21.MAA000652.3_10_M.1.1,naive B cell,3_10_M,male,3m
O22.D042193.3_8_M.1.1,naive B cell,3_8_M,male,3m
O22.MAA000844.3_10_M.1.1,naive B cell,3_10_M,male,3m
O3.MAA000652.3_10_M.1.1,naive B cell,3_10_M,male,3m
O5.D042044.3_9_M.1.1,naive B cell,3_9_M,male,3m
O5.D042193.3_8_M.1.1,naive B cell,3_8_M,male,3m
O5.D042467.3_9_M.1.1,naive B cell,3_9_M,male,3m
O7.D042044.3_9_M.1.1,naive B cell,3_9_M,male,3m
O9.MAA000844.3_10_M.1.1,naive B cell,3_10_M,male,3m
P10.D042193.3_8_M.1.1,naive B cell,3_8_M,male,3m
P10.MAA000844.3_10_M.1.1,naive B cell,3_10_M,male,3m
P11.D042044.3_9_M.1.1,naive B cell,3_9_M,male,3m
P11.D042193.3_8_M.1.1,naive B cell,3_8_M,male,3m
P12.D042193.3_8_M.1.1,naive B cell,3_8_M,male,3m
P13.D042044.3_9_M.1.1,naive B cell,3_9_M,male,3m
P14.D042193.3_8_M.1.1,naive B cell,3_8_M,male,3m
P14.D042467.3_9_M.1.1,naive B cell,3_9_M,male,3m
P14.D042479.3_8_M.1.1,naive B cell,3_8_M,male,3m
P14.MAA000844.3_10_M.1.1,naive B cell,3_10_M,male,3m
P15.D042467.3_9_M.1.1,naive B cell,3_9_M,male,3m
P16.D042044.3_9_M.1.1,naive B cell,3_9_M,male,3m
P17.MAA000652.3_10_M.1.1,naive B cell,3_10_M,male,3m
P17.MAA000844.3_10_M.1.1,naive B cell,3_10_M,male,3m
P18.D042044.3_9_M.1.1,naive B cell,3_9_M,male,3m
P19.D042193.3_8_M.1.1,naive B cell,3_8_M,male,3m
P19.MAA000652.3_10_M.1.1,naive B cell,3_10_M,male,3m
P2.D042193.3_8_M.1.1,naive B cell,3_8_M,male,3m
P2.D042479.3_8_M.1.1,naive B cell,3_8_M,male,3m
P2.MAA000596.3_9_M.1.1,naive B cell,3_9_M,male,3m
P20.D042479.3_8_M.1.1,naive B cell,3_8_M,male,3m
P21.D042044.3_9_M.1.1,naive B cell,3_9_M,male,3m
P21.MAA000844.3_10_M.1.1,naive B cell,3_10_M,male,3m
P22.MAA000652.3_10_M.1.1,naive B cell,3_10_M,male,3m
P3.D042467.3_9_M.1.1,naive B cell,3_9_M,male,3m
P3.D042479.3_8_M.1.1,naive B cell,3_8_M,male,3m
P3.MAA000844.3_10_M.1.1,naive B cell,3_10_M,male,3m
P6.D042193.3_8_M.1.1,naive B cell,3_8_M,male,3m
P7.D042044.3_9_M.1.1,naive B cell,3_9_M,male,3m
P7.MAA000844.3_10_M.1.1,naive B cell,3_10_M,male,3m
P8.D041912.3_8_M.1.1,naive B cell,3_8_M,male,3m
P8.D042467.3_9_M.1.1,naive B cell,3_9_M,male,3m
